date,category,difficulty,bloom_level,question,acceptance_rate,ground_truth_answer
2026-01-24,Functions,Medium,Apply,"Asymptotes: How do you find vertical, horizontal, and oblique asymptotes?",77,"Vertical asymptotes (VA): occur at x = a where f(x) → ±∞. Find by: 1) Factor and simplify f(x); 2) Find where denominator = 0 but numerator ≠ 0; 3) Check limit behavior lim(x→a±) f(x). Example: f(x) = 1/(x-2) has VA at x = 2. Holes vs VA: if both numerator and denominator equal 0, it's a hole, not VA. Horizontal asymptotes (HA): y = L if lim(x→±∞) f(x) = L. For rational f(x) = P(x)/Q(x): compare degrees - if deg(P) < deg(Q): HA is y = 0; if deg(P) = deg(Q): HA is y = (leading coefficient of P)/(leading coefficient of Q); if deg(P) > deg(Q): no HA (check for oblique). Oblique/Slant asymptotes: when deg(P) = deg(Q) + 1, use polynomial long division: f(x) = mx + b + remainder/Q(x), then y = mx + b is oblique asymptote. Can't have both HA and oblique asymptote. Verify by checking lim(x→±∞) [f(x) - (mx+b)] = 0."
2026-01-23,Discrete Math,Easy,Remember,Boolean Algebra: What are the fundamental operations and properties?,86,"Boolean algebra operates on binary values {0,1} or {False,True}. Fundamental operations: 1) AND (∧, ·): 1·1=1, else 0; 2) OR (∨, +): 0+0=0, else 1; 3) NOT (¬, '): inverts value. Laws: Commutative: A∧B = B∧A, A∨B = B∨A; Associative: (A∧B)∧C = A∧(B∧C); Distributive: A∧(B∨C) = (A∧B)∨(A∧C); Identity: A∧1 = A, A∨0 = A; Null: A∧0 = 0, A∨1 = 1; Idempotent: A∧A = A, A∨A = A; Complement: A∧A' = 0, A∨A' = 1, (A')' = A; De Morgan's: (A∧B)' = A'∨B', (A∨B)' = A'∧B'; Absorption: A∨(A∧B) = A. Applications: digital logic circuits, set theory, logical reasoning. XOR (⊕): A⊕B = (A∧B')∨(A'∧B), equals 1 when inputs differ. NAND and NOR are functionally complete (can create any Boolean function)."
2026-01-22,Calculus,Medium,Analyze,Concavity and Inflection Points: How do you analyze these properties?,74,"Concavity describes how a curve bends. f is concave up on interval I if f''(x) > 0 for all x in I (curve opens upward, tangent lines below curve); concave down if f''(x) < 0 (opens downward, tangent lines above). Inflection point: where concavity changes, occurs at x = c where f''(c) = 0 or f'' undefined, AND f'' changes sign across c. Analysis procedure: 1) Find f''(x); 2) Solve f''(x) = 0 and find where f'' is undefined; 3) Test intervals between these points to determine sign of f''; 4) Inflection point at x = c only if f'' changes sign there. Note: f''(c) = 0 is necessary but not sufficient (counterexample: f(x) = x⁴ at x = 0, f''(0) = 0 but no inflection point). Second derivative test for extrema: if f'(c) = 0, then f''(c) > 0 implies local min, f''(c) < 0 implies local max. Physical interpretation: concavity relates to acceleration; inflection points mark transition in rate of change."
2026-01-21,Algebra,Medium,Understand,Rational Functions: What are their properties and how do you graph them?,76,"Rational function: f(x) = P(x)/Q(x) where P, Q are polynomials with Q(x) ≠ 0. Key properties: 1) Domain: all x except where Q(x) = 0; 2) Vertical asymptotes at zeros of Q(x) that aren't canceled by P(x); 3) Holes at x = a if (x-a) is factor of both P and Q; 4) Horizontal asymptote based on degree comparison (see asymptote rules); 5) x-intercepts where P(x) = 0 (and Q(x) ≠ 0); 6) y-intercept at f(0) if defined. Graphing steps: 1) Factor P and Q completely; 2) Find and mark domain restrictions; 3) Identify and draw asymptotes; 4) Find intercepts; 5) Determine behavior near asymptotes using test points and limits; 6) Analyze sign of f in each interval; 7) Plot key points and sketch smooth curves. End behavior follows asymptotes. Rational functions can cross horizontal asymptotes (but not vertical). For y = 1/(x-h)² + k, transformation of basic f(x) = 1/x²."
2026-01-20,Trigonometry,Easy,Remember,"Inverse Trigonometric Functions: What are their domains, ranges, and uses?",89,"Inverse trig functions reverse trig functions with restricted domains. 1) arcsin (sin⁻¹): Domain [-1,1], Range [-π/2, π/2], gives angle whose sine is x; 2) arccos (cos⁻¹): Domain [-1,1], Range [0,π]; 3) arctan (tan⁻¹): Domain (-∞,∞), Range (-π/2, π/2); 4) arccsc, arcsec, arccot: reciprocal inverses with corresponding restrictions. Key identities: sin(arcsin(x)) = x for |x| ≤ 1; arcsin(sin(x)) = x for x ∈ [-π/2, π/2]; sin(arccos(x)) = √(1-x²); tan(arcsin(x)) = x/√(1-x²). Uses: 1) Solving trig equations; 2) Integration (∫ 1/√(1-x²) dx = arcsin(x) + C); 3) Finding angles from ratios in triangles; 4) Calculus derivatives: d/dx[arcsin(x)] = 1/√(1-x²), d/dx[arctan(x)] = 1/(1+x²). Range restrictions ensure inverse functions are well-defined (functions must be one-to-one)."
2026-01-19,Linear Algebra,Hard,Analyze,Vector Spaces and Subspaces: What defines them and how do you verify properties?,58,"A vector space V over field F is a set with addition and scalar multiplication satisfying 10 axioms: closure under both operations, commutativity and associativity of addition, additive identity (zero vector), additive inverses, multiplicative identity (1·v = v), distributivity (both types), associativity of scalar multiplication. Standard examples: ℝⁿ, polynomials P_n, matrices M_{m×n}, functions C[a,b]. A subspace W ⊆ V must satisfy: 1) 0 ∈ W (contains zero vector); 2) Closure under addition: u,v ∈ W ⟹ u+v ∈ W; 3) Closure under scalar multiplication: v ∈ W, c ∈ F ⟹ cv ∈ W. Equivalently: W is subspace iff for all u,v ∈ W and scalars a,b, au+bv ∈ W. Verification example: W = {(x,y,z) : x+y+z = 0} in ℝ³: (0,0,0) ✓, sum of solutions is solution ✓, scalar multiple is solution ✓, so W is subspace (a plane through origin). Non-example: x+y+z = 1 fails (doesn't contain origin). Important subspaces: null space, column space, row space."
2026-01-18,Calculus,Easy,Apply,Derivatives of Exponential Functions: How do you differentiate exponential functions?,91,"Exponential function derivatives: 1) d/dx[e^x] = e^x (natural exponential is its own derivative); 2) d/dx[a^x] = a^x · ln(a) for base a > 0; 3) Chain rule for compositions: d/dx[e^{g(x)}] = e^{g(x)} · g'(x); d/dx[a^{g(x)}] = a^{g(x)} · ln(a) · g'(x). Examples: d/dx[e^{x²}] = e^{x²} · 2x; d/dx[2^{3x}] = 2^{3x} · ln(2) · 3 = 3ln(2) · 2^{3x}; d/dx[e^{sin(x)}] = e^{sin(x)} · cos(x). Key property: exponential growth rate proportional to current value (differential equation y' = ky has solution y = Ce^{kt}). For y = e^x, tangent line at (a, e^a) is y - e^a = e^a(x - a), slope equals function value. Integral: ∫e^x dx = e^x + C; ∫a^x dx = a^x/ln(a) + C. ln is inverse: d/dx[ln(x)] = 1/x, ∫1/x dx = ln|x| + C."
2026-01-17,Statistics,Medium,Understand,Hypothesis Testing: What are the key steps and how do you interpret p-values?,71,"Hypothesis testing steps: 1) State hypotheses: H₀ (null, status quo) and H₁/Hₐ (alternative, claim to test); 2) Choose significance level α (commonly 0.05, probability of Type I error); 3) Calculate test statistic from sample data (z, t, χ², F depending on test); 4) Find p-value: probability of observing test statistic as extreme or more, assuming H₀ true; 5) Decision: reject H₀ if p-value < α, fail to reject if p-value ≥ α; 6) Conclusion in context. P-value interpretation: smaller p-value = stronger evidence against H₀. p < 0.01: very strong evidence; p < 0.05: strong evidence; p < 0.10: moderate evidence; p > 0.10: little/no evidence. Errors: Type I (false positive, reject true H₀, probability = α); Type II (false negative, fail to reject false H₀, probability = β). Power = 1-β (probability of correctly rejecting false H₀). One-tailed vs two-tailed tests depend on H₁. Important: failing to reject ≠ accepting H₀; statistical significance ≠ practical significance."
2026-01-16,Calculus,Medium,Apply,Logarithmic Differentiation: When is it useful and how do you apply it?,68,"Logarithmic differentiation is useful for: 1) Products/quotients of many functions; 2) Functions with variable bases and exponents f(x)^{g(x)}; 3) Complicated expressions where quotient/product rules are tedious. Procedure: 1) Take ln of both sides: ln(y) = ln(f(x)); 2) Simplify using log properties: ln(ab) = ln(a) + ln(b), ln(a/b) = ln(a) - ln(b), ln(a^b) = b·ln(a); 3) Differentiate both sides (implicit differentiation): (1/y)·dy/dx = d/dx[ln(f(x))]; 4) Solve for dy/dx: dy/dx = y · d/dx[ln(f(x))] = f(x) · d/dx[ln(f(x))]. Example: y = x^x → ln(y) = x·ln(x) → (1/y)·y' = ln(x) + 1 → y' = x^x(ln(x) + 1). Another: y = (x²+1)^x → ln(y) = x·ln(x²+1) → y'/y = ln(x²+1) + x·2x/(x²+1) → y' = (x²+1)^x[ln(x²+1) + 2x²/(x²+1)]. More efficient than repeated chain/product rule. Works only when f(x) > 0 (ln defined)."
2026-01-15,Discrete Math,Medium,Understand,"Graph Theory Basics: What are vertices, edges, paths, and graph types?",75,"Graph G = (V,E): V is set of vertices (nodes), E is set of edges (connections). Edge connects two vertices. Types: 1) Undirected: edges have no direction {u,v}; Directed (digraph): edges have direction (u,v) ≠ (v,u); 2) Weighted: edges have numerical values; Unweighted: all edges equal; 3) Simple: no loops (edge from vertex to itself) or multiple edges; Multigraph: allows multiple edges between vertices; 4) Connected: path exists between any two vertices; Disconnected: some vertices unreachable; 5) Complete K_n: every vertex connected to every other; 6) Bipartite: vertices dividable into two sets, edges only between sets; 7) Tree: connected acyclic graph; Forest: disjoint trees. Path: sequence of vertices where consecutive vertices connected by edges, simple if no repeated vertices. Cycle: path starting and ending at same vertex. Degree: number of edges incident to vertex; sum of all degrees = 2|E|. Applications: social networks, routing, scheduling, computer networks."
2026-01-14,Algebra,Easy,Remember,Radicals and Rational Exponents: How do you simplify radical expressions?,87,"Radical notation: ⁿ√a is the nth root of a, where (ⁿ√a)ⁿ = a. Relationship to exponents: ⁿ√a = a^{1/n}, ⁿ√(a^m) = a^{m/n}. Simplification rules: 1) ⁿ√(ab) = ⁿ√a · ⁿ√b (product rule); 2) ⁿ√(a/b) = ⁿ√a / ⁿ√b (quotient rule); 3) ᵐ√(ⁿ√a) = ^{mn}√a (nested radicals); 4) Simplify by factoring out perfect nth powers: √50 = √(25·2) = 5√2. Rationalizing denominator: multiply by conjugate or appropriate power: 1/√2 = √2/2; 1/(√3-1) = (√3+1)/2. Combining like radicals: 2√3 + 5√3 = 7√3, but √2 + √3 can't combine. Converting to rational exponents often simplifies operations: (√x)³ = x^{3/2}. Restrictions: even roots require non-negative radicands in real numbers; ⁿ√a is positive principal root. Solving radical equations: isolate radical, raise both sides to power n, check for extraneous solutions."
2026-01-13,Calculus,Hard,Analyze,Optimization with Constraints: How do Lagrange multipliers work?,61,"Lagrange multipliers solve constrained optimization: maximize/minimize f(x,y,z) subject to g(x,y,z) = k. Method: at constrained extremum, ∇f = λ∇g (gradient of f is parallel to gradient of g, where λ is Lagrange multiplier). Setup: 1) Define Lagrangian L(x,y,z,λ) = f(x,y,z) - λ(g(x,y,z) - k); 2) Solve system ∇L = 0: ∂L/∂x = 0, ∂L/∂y = 0, ∂L/∂z = 0, ∂L/∂λ = 0 (which gives constraint); 3) Solve system for critical points; 4) Evaluate f at all critical points and boundary to find max/min. Intuition: at extremum, moving along constraint surface shouldn't increase/decrease f, so level curves of f and g must be tangent (parallel gradients). Multiple constraints g₁ = k₁, g₂ = k₂: use L = f - λ₁(g₁ - k₁) - λ₂(g₂ - k₂), solve ∇f = λ₁∇g₁ + λ₂∇g₂. Example: maximize xy subject to x + y = 10 → ∇(xy) = λ∇(x+y) → (y,x) = λ(1,1) → y = λ, x = λ, x+y=10 → x=y=5, max=25."
2026-01-12,Functions,Medium,Understand,"Piecewise Functions: How do you define, graph, and evaluate piecewise functions?",73,"Piecewise function: defined by different formulas on different intervals. Notation: f(x) = { f₁(x) if x ∈ I₁, f₂(x) if x ∈ I₂, ... }. Example: f(x) = { x² if x < 0, 2x if x ≥ 0 }. Evaluation: identify which interval x belongs to, use corresponding formula. Example: f(-2) = (-2)² = 4, f(3) = 2(3) = 6. Graphing: 1) Graph each piece on its domain; 2) Use open circle for excluded endpoints, closed circle for included; 3) Check continuity at boundaries. Domain: union of all intervals. Range: union of ranges of each piece. Continuity at x = a: requires lim_{x→a⁻} f(x) = lim_{x→a⁺} f(x) = f(a). Common piecewise functions: absolute value |x| = { -x if x<0, x if x≥0 }; step functions (floor ⌊x⌋, ceiling ⌈x⌉); tax brackets; shipping costs. Differentiability: check if left and right derivatives match at boundaries. Applications: modeling real-world scenarios with different rules in different conditions."
